station_id,last_contact,has_valid_data,last_error
ChilolwaSS,2026-03-02T08:56:57.369178+00:00,True,
ChingolaSS,2026-03-02T08:01:02.661569+00:00,True,
Chipata_Met,2026-03-02T07:57:29.932151+00:00,True,
ChisambaGA,2026-03-02T08:01:22.671932+00:00,True,
ChomaWaterAffairs,2026-03-02T08:57:01.614536+00:00,True,
FatimaGS,2026-03-02T08:00:59.414927+00:00,True,
FikolongoPS,2026-03-02T07:57:18.616393+00:00,True,
Gwembe Secondary School,2026-03-02T08:56:23.534064+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_gwembe secondary school'...
                                 ^
"
IsokaSS,2026-03-02T08:57:09.309697+00:00,True,
KASAMANDA,2026-03-02T07:58:53.001783+00:00,True,
KMUni,2026-03-02T07:57:02.016729+00:00,True,
Kacholola Sec School,2026-03-02T07:57:32.248251+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_kacholola sec school', '...
                                 ^
"
Kafumbwe Secondary School,2026-03-02T08:25:19.734035+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_kafumbwe secondary schoo...
                                 ^
"
KafumbweSS,2026-03-02T05:00:41.549173+00:00,True,
Kalabo,2026-03-02T08:00:52.613783+00:00,True,
KalalantekwePS,2026-03-02T08:01:09.414528+00:00,True,
Kalene,2026-03-02T08:54:57.126612+00:00,True,
KalulushiDaySS,2026-03-02T08:56:46.911210+00:00,True,
KamangaSC,2026-03-02T08:24:17.262539+00:00,True,
KamfinsaDaySS,2026-03-02T08:01:05.347546+00:00,True,
KanyantaGS,2026-03-02T08:56:45.601767+00:00,True,
KapatuSS,2026-03-02T08:56:40.702803+00:00,True,
KapiriGT,2026-03-02T08:57:05.868923+00:00,True,
KaputaSS,2026-03-02T08:00:41.847571+00:00,True,
KasamaMet,2026-03-02T08:00:28.103486+00:00,True,
KasapaDS,2026-03-02T08:01:10.561782+00:00,True,
Kasenengwa Boarding School,2026-03-02T08:25:10.037501+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_kasenengwa boarding scho...
                                 ^
"
KasenengwaBSS,2026-03-02T05:00:36.901753+00:00,True,
Kawambwa MET,2026-03-02T08:00:40.755338+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_kawambwa met', 'time', i...
                                 ^
"
Kawaza Primary School,2026-03-02T08:54:26.187920+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_kawaza primary school', ...
                                 ^
"
LIVINGSTONE,2026-03-02T08:57:07.997223+00:00,True,
LilachiBS,2026-03-02T08:27:04.771234+00:00,True,
LuampaSS,2026-03-02T05:00:55.375178+00:00,True,
LuanshyaCentralSS,2026-03-02T07:57:58.569096+00:00,True,
Lubalashi Primary School,2026-03-02T08:25:36.283391+00:00,False,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_lubalashi primary school...
                                 ^
"
LubalashiS,2026-03-02T05:00:46.086557+00:00,True,
LubweSS,2026-03-02T07:56:58.554858+00:00,True,
LuchecheSS,2026-03-02T08:56:50.872692+00:00,True,
Lukulu,2026-03-02T08:01:21.645574+00:00,True,
LumantoBS,2026-03-02T08:26:00.071250+00:00,True,
Lumwana West Day Secondary,2026-03-02T07:57:28.786526+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_lumwana west day seconda...
                                 ^
"
Lundazi,2026-03-02T08:01:13.173113+00:00,False,"relation ""public.st_lundazi"" does not exist
LINE 1: SELECT create_hypertable('public.st_lundazi ', 'time', if_no...
                                 ^
"
LupososhiSS,2026-03-02T08:00:39.463721+00:00,True,
LusakaAirport,2026-03-02T08:23:54.616437+00:00,True,
LwambeNP,2026-03-02T08:24:31.462124+00:00,True,
Mabel,2026-03-02T08:00:54.114377+00:00,True,
MabumbuPS,2026-03-02T08:26:41.166910+00:00,True,
MahebaSS,2026-03-02T08:01:14.270602+00:00,True,
MalunduPS,2026-03-02T08:01:01.557710+00:00,True,
MambilimaSS,2026-04-16T09:01:38.449388+00:00,True,
Mansa,2026-03-02T08:28:03.648954+00:00,True,
Manyane Primary School,2026-03-02T08:24:58.359589+00:00,False,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_manyane primary school',...
                                 ^
"
ManyanePS,2026-03-02T05:01:49.050295+00:00,True,
MasaitiBS,2026-03-02T08:00:29.525347+00:00,True,
Mazabuka Primary School,2026-03-02T08:57:00.174400+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_mazabuka primary school'...
                                 ^
"
MikubaDaySS,2026-03-02T08:01:06.412314+00:00,True,
MitaHillsDam,2026-03-02T08:01:27.207446+00:00,True,
MiteteSS,2026-03-02T08:27:13.365512+00:00,True,
MoboolaPS,2026-03-02T08:01:19.043215+00:00,True,
Mongu ZARI,2026-03-02T08:00:57.650274+00:00,True,"invalid name syntax
LINE 1: SELECT create_hypertable('public.st_mongu zari', 'time', if_...
                                 ^
"
MpikaMET,2026-03-02T08:57:07.038189+00:00,True,
MpongweSouthS,2026-03-02T08:00:19.372144+00:00,True,
